open,high,low,close,volume,symbol
180.44,184.7,180.059998,183.039993,177731200.0,NVDA
178.49001,180.89999,176.92,180.050003,178099400.0,NVDA
175.0099945,183.46001,174.64,182.48,209095300.0,NVDA
181.25,182.59,176.38,177.19,311636500.0,NVDA
194.27,194.28999,184.32001,184.89,360807900.0,NVDA
194.45,197.63,193.78999,195.56,250637100.0,NVDA
191.49001,193.77,187.39999,192.85001,175123600.0,NVDA
191.39999,193.95,189.58,191.55,171584800.0,NVDA
186.57001,190.33,185.94,189.82001,178422300.0,NVDA
187.059998,188.42999,185.66,187.89999,126554500.0,NVDA
188.75,190.37,186.75999,187.98,164749100.0,NVDA
181.75,187.14999,179.17999,184.97,162276900.0,NVDA
187.48,187.5,181.59,182.81,161888000.0,NVDA
193.029999,193.61,186.50999,186.94,189932500.0,NVDA
192.45,193.25999,188.77,190.050003,144192700.0,NVDA
191.38,192.48,188.12,188.53999,136764800.0,NVDA
184.25999,193.66,183.95,190.039993,196387400.0,NVDA
92.040001,93.98,91.86,93.38,34285500.0,NFLX
91.31,91.88,90.69,91.82,61678000.0,NFLX
94.31,95.75,90.78,91.74,40169300.0,NFLX
94.45,95.34,93.61,94.7,27878300.0,NFLX
95.3,96.34,94.010002,94.36,26434500.0,NFLX
95.58,96.099998,94.36,95.2,34931800.0,NFLX
94.64,95.68,94.24,95.31,29876700.0,NFLX
94.86,95.4,93.87,94.31,34206900.0,NFLX
97.41,98.0,94.69,94.89,33962900.0,NFLX
97.81,98.49,96.29,96.94,41027200.0,NFLX
97.7,98.94,96.58,98.32,48589000.0,NFLX
99.33,99.88,97.4,99.019997,41196300.0,NFLX
98.5,100.19,98.099998,99.17,53403000.0,NFLX
97.11,99.75,96.99,98.66,52604300.0,NFLX
96.010002,98.46,95.33,97.7,59149000.0,NFLX
95.26,98.07,95.2,97.089996,79915400.0,NFLX
94.3,96.75,90.58,96.24,200767000.0,NFLX
83.2,86.5,82.8,84.59,85642500.0,NFLX
79.43,83.12,79.25,82.7,69319300.0,NFLX
75.73,78.12,75.21,78.040001,33079100.0,NFLX
77.79,77.83,75.010002,76.019997,38363000.0,NFLX
76.61,78.85,76.4,78.67,32411300.0,NFLX
77.75,78.7,76.59,77.0,30139200.0,NFLX
77.32,78.32,76.28,77.99,29883100.0,NFLX
76.92,77.87,75.3,77.0,35961500.0,NFLX
76.14,77.18,75.53,76.87,42292100.0,NFLX
79.11,79.15,75.23,75.86,73516100.0,NFLX
81.96,82.48,79.45,79.62,40840300.0,NFLX
82.72,84.66,82.089996,82.21,43595800.0,NFLX
82.18,82.21,79.87,81.47,42200200.0,NFLX
206.39999,209.11,201.71001,202.67999,31799700.0,AMD
204.89,206.3,198.25999,201.33,37265100.0,AMD
195.029999,205.88,192.83,205.27,32245300.0,AMD
196.0,202.86,195.75,199.46001,28569100.0,AMD
196.67999,199.21001,195.25999,196.31,22779700.0,AMD
194.98,200.17,194.8,196.58,30285200.0,AMD
198.11,199.67999,192.27,193.39,27561900.0,AMD
202.83,203.62,196.67,197.74001,28886900.0,AMD
205.11,209.21001,203.63,204.83,23076400.0,AMD
202.50999,206.59,202.2,203.23,29139200.0,AMD
189.36,202.97,189.020004,202.67999,38877200.0,AMD
195.27,200.24001,191.25,192.42999,33913800.0,AMD
197.77,203.78999,194.88,199.45,36000700.0,AMD
192.12,202.44,189.86,202.070007,40912600.0,AMD
191.46001,193.64,188.22,190.95,37785700.0,AMD
193.85001,198.74001,190.0,198.62,34120200.0,AMD
200.11,201.89,197.74001,200.21001,31312400.0,AMD
208.8,209.78999,201.46001,203.67999,35020500.0,AMD
214.82001,216.7,210.33,210.86,44588100.0,AMD
211.63,216.71001,206.5,213.84,81367000.0,AMD
198.089996,199.38,194.14999,196.60001,28187900.0,AMD
200.12,204.87,198.56,200.14999,36317300.0,AMD
200.11,204.10001,198.28999,203.37,25842300.0,AMD
198.41,203.2,195.0,200.12,35664100.0,AMD
202.14999,205.3,194.83,203.080002,33712100.0,AMD
204.020004,210.050003,203.88,207.32001,26123900.0,AMD
215.83,218.46001,205.14,205.94,32181000.0,AMD
217.88,219.64999,209.21001,213.58,33384700.0,AMD
215.14,219.39,213.13,213.57001,25326700.0,AMD
206.89999,217.60001,204.14999,216.0,38810800.0,AMD
44.5,45.46,43.74,44.0099983,80537700.0,INTC
46.95,47.55,43.64,43.87,162814200.0,INTC
43.99,46.44,43.65,46.18,74051500.0,INTC
44.2,45.71,44.049999,45.029999,78056200.0,INTC
46.080002,46.080002,43.91,44.060001,89061600.0,INTC
47.91,49.17,45.69,45.76,114199400.0,INTC
45.97,46.65,45.39,45.77,68386200.0,INTC
47.4,47.44,45.17,45.25,85110200.0,INTC
46.82,48.83,46.66,47.98,72480600.0,INTC
45.41,47.88,45.41,46.78,85233300.0,INTC
42.74,45.76,41.64,45.58,82937400.0,INTC
44.67,45.18,43.28,43.42,74698300.0,INTC
44.87,46.48,44.7,45.95,78229400.0,INTC
44.07,46.13,43.27,45.58,96628100.0,INTC
43.44,43.69,42.14,43.099998,83971000.0,INTC
44.2,45.81,43.95,45.5,60705100.0,INTC
44.46,46.56,44.4,45.61,79327200.0,INTC
46.77,46.95,44.39,45.46,71457500.0,INTC
46.09,46.97,45.080002,46.88,75645300.0,INTC
44.099998,46.6,43.54,46.12,98872300.0,INTC
44.09,44.55,43.18,43.63,57130900.0,INTC
43.89,44.39,42.88,44.11,90743600.0,INTC
44.95,45.17,43.92,44.62,72724900.0,INTC
45.92,46.77,44.88,45.46,65306100.0,INTC
45.93,46.83,45.46,46.18,65802200.0,INTC
45.76,47.69,44.97,46.79,69740400.0,INTC
47.8,48.95,46.19,46.48,88321200.0,INTC
48.11,49.55,46.86,48.29,107681200.0,INTC
50.41,50.54,46.77,47.13,99832900.0,INTC
49.59,51.22,47.59,50.24,94841400.0,INTC
151.42,155.78,150.71001,154.34,19908200.0,ORCL
153.050003,153.25,147.95,149.67999,37551400.0,ORCL
150.46001,156.92,148.89,155.52,22046100.0,ORCL
153.39999,154.97,152.039993,152.89999,18051100.0,ORCL
155.44,158.92,153.5,154.69,23929500.0,ORCL
156.059998,158.74001,154.50999,155.97,21607700.0,ORCL
159.050003,160.77,154.14999,155.11,26350400.0,ORCL
164.66,167.83,158.61,159.16,37133700.0,ORCL
166.38,171.75999,160.58,163.12,83247500.0,ORCL
153.62,154.14,148.45,149.39999,51544600.0,ORCL
150.7,152.0,146.42999,151.56,31173500.0,ORCL
152.92,159.19,151.62,152.96001,38000600.0,ORCL
152.59,157.94,150.12,154.78999,24094800.0,ORCL
150.0099945,153.61,149.10001,152.37,17585400.0,ORCL
144.75,150.92999,143.050003,149.0099945,20120800.0,ORCL
141.62,150.17,141.17999,149.25,22418800.0,ORCL
143.88,146.080002,142.10001,145.39999,36425200.0,ORCL
148.78999,152.5,145.14999,150.31,20652200.0,ORCL
149.16,153.28,147.34,147.89,27303900.0,ORCL
140.84,146.75999,138.73,146.14,21336600.0,ORCL
145.69,145.8,138.59,141.31,31749800.0,ORCL
153.3,153.99001,147.39,148.080002,29621900.0,ORCL
157.19,160.080002,155.77,156.53999,14976300.0,ORCL
154.41,157.3,151.37,156.17,14801100.0,ORCL
157.98,159.28,152.88,153.97,19610800.0,ORCL
159.25,162.3,155.28999,160.14,18597000.0,ORCL
157.92999,159.039993,152.5,156.48,23285400.0,ORCL
163.66,163.66,154.0,157.16,24538900.0,ORCL
160.0,165.39,156.96001,159.89,40092200.0,ORCL
148.49001,159.75,147.0,156.59,49936500.0,ORCL
246.5,251.35001,244.71001,248.44,4966700.0,IBM
249.0,250.28,241.77,241.77,11314100.0,IBM
249.42999,252.19,248.25,250.37,4249500.0,IBM
254.16,258.28,250.16,251.60001,5177000.0,IBM
250.50999,256.39001,250.0,256.10999,5840100.0,IBM
247.87,252.2,246.10001,249.25,5674200.0,IBM
247.67,249.72,244.71001,246.28,4338400.0,IBM
247.10001,250.050003,245.64,247.67999,5547700.0,IBM
250.0099945,253.72,247.2,248.87,4008500.0,IBM
253.25999,253.44,246.55,250.2,4938000.0,IBM
255.38,258.079987,251.57001,253.33,6126600.0,IBM
256.44,259.39999,252.21001,258.85001,6234400.0,IBM
249.32001,260.38,249.0,256.54999,9894600.0,IBM
245.75,250.85001,244.96001,250.059998,6085000.0,IBM
236.35001,246.089996,234.28999,245.28,6960400.0,IBM
235.7,240.78,233.78,239.37,6220300.0,IBM
238.070007,240.21001,234.57001,240.21001,6642200.0,IBM
239.71001,247.49001,238.95,242.0099945,7343100.0,IBM
233.22,239.55,231.22,237.53999,8569700.0,IBM
227.8,236.59,223.63,229.32001,13379800.0,IBM
254.37,255.19,220.72,223.35001,19522900.0,IBM
255.2,259.040009,253.8,257.16,4708600.0,IBM
256.0,258.28,253.50999,256.28,4948700.0,IBM
258.64001,261.10999,256.25,260.79001,3949200.0,IBM
259.20001,260.70001,254.64999,258.31,4929700.0,IBM
260.0,264.66,256.64001,262.38,6842600.0,IBM
270.29999,271.29999,257.22,259.51999,12565400.0,IBM
292.34,293.5,272.35999,272.81,7628200.0,IBM
294.98999,297.60999,290.32999,291.76001,3837300.0,IBM
295.91,297.72,291.42001,296.34,4627800.0,IBM
123.24,127.27,123.099998,126.059998,15567200.0,BABA
125.715,126.48,122.089996,122.41,15479300.0,BABA
123.019997,126.92,121.16,124.9,33440500.0,BABA
138.44501,139.16,134.37,134.42999,17158600.0,BABA
137.875,138.22,135.97,136.57001,10005700.0,BABA
138.8,138.8,136.5,136.71001,9972300.0,BABA
136.070007,137.2,134.7,135.21001,6438400.0,BABA
135.38,136.0,133.45,134.2,7591800.0,BABA
135.57001,136.74001,134.82001,136.28999,6685100.0,BABA
135.71001,139.22,134.56,136.85001,15264300.0,BABA
130.24001,132.91,128.55,132.64,10072400.0,BABA
129.3,132.42999,128.8,130.78999,10957000.0,BABA
129.7,131.63499,128.60001,130.35001,18612900.0,BABA
134.985,135.117,132.72,133.27,14293900.0,BABA
136.38,137.080002,133.39999,135.59,18476800.0,BABA
139.19,143.0,139.054993,142.56,9428300.0,BABA
145.46001,146.39999,143.33,144.11,9780300.0,BABA
148.355,149.059998,145.60001,148.050003,10256400.0,BABA
152.8,153.55,150.961,152.28,5813400.0,BABA
152.10001,153.73,150.89999,153.11,6655200.0,BABA
155.5,156.33,152.57001,152.78,6751000.0,BABA
150.85001,155.49001,150.42999,154.45,8758700.0,BABA
155.22501,155.5,153.14999,154.27,6582500.0,BABA
156.88,157.5,155.57001,155.77,4506600.0,BABA
156.375,158.13,153.46001,155.42999,6803600.0,BABA
152.855,158.11,152.855,155.73,16045600.0,BABA
163.12,163.37,156.96001,158.73,11457800.0,BABA
164.089996,165.2,161.38,164.32001,8756900.0,BABA
163.74001,168.255,162.3,166.50999,10990000.0,BABA
161.89,165.029999,160.89,163.0,7260500.0,BABA
75.27,75.82,74.44,75.12,13831300.0,UBER
74.98,74.98,73.040001,73.89,26161200.0,UBER
76.48,77.845,75.32,75.34,13791600.0,UBER
77.43,77.68,76.48,76.66,13692700.0,UBER
77.39,79.23,77.31,77.79,33146100.0,UBER
74.0,75.38,74.0,74.66,15997300.0,UBER
73.295,74.87,72.69,73.33,16400700.0,UBER
74.87,75.85,72.59,72.97,17082700.0,UBER
74.54,75.6,73.55,74.97,21010800.0,UBER
73.97,74.12,72.18,72.36,17581500.0,UBER
74.12,74.54,71.94,73.84,21208900.0,UBER
74.73,75.57,74.19,75.13,14771200.0,UBER
76.59,78.25,75.135,75.44,17894000.0,UBER
76.295,77.040001,75.013,76.65,19818600.0,UBER
74.5,77.305,74.019997,76.36,21892500.0,UBER
73.5,76.495,73.15,75.95,25779100.0,UBER
73.9,75.78,73.658,75.42,20427900.0,UBER
73.15,76.099998,72.83,74.8,22449200.0,UBER
72.32,73.16,71.92,72.83,19820800.0,UBER
70.62,72.14,69.95,71.38,19581100.0,UBER
72.99,73.11,70.15,70.72,22921600.0,UBER
72.65,74.585,72.56,73.86,20242200.0,UBER
71.87,74.105,71.76,72.94,15897800.0,UBER
70.26,73.27,70.115,72.77,18235600.0,UBER
70.66,70.98,69.7,70.53,20286100.0,UBER
71.059998,71.42,69.019997,69.99,26526700.0,UBER
72.19,72.63,69.45,71.22,33541400.0,UBER
73.76,74.085999,70.65,71.010002,28045000.0,UBER
74.38,75.050003,73.47,73.5,18958700.0,UBER
74.76,74.815,73.51,73.91,17959100.0,UBER
118.59,122.8,118.34,121.099998,8780400.0,SHOP
121.655,121.86,115.51,116.78,11955500.0,SHOP
122.51,124.59,120.51,122.37,7204400.0,SHOP
126.94,128.66,123.6,123.75,6728800.0,SHOP
127.36,132.94,126.938,127.8,4998400.0,SHOP
125.24,127.615,124.54,126.58,4878700.0,SHOP
125.82,128.92999,121.23,122.96,7840400.0,SHOP
127.8,131.67999,125.671,126.17,5824800.0,SHOP
130.55,134.46001,126.58,129.52,6176400.0,SHOP
133.175,134.35001,128.27,129.36,6998900.0,SHOP
127.87,134.78999,127.66,133.5,9328900.0,SHOP
130.71001,135.020004,128.0099945,130.2,15748300.0,SHOP
